Director,Appearances
Jenny Popplewell,1
Florian Schott,1
Tom Whitworth,1
Joe Mantello,1
Lee Hirsch,2
Page Hurwitz,1
Dallas Jackson,2
Rajat Kapoor,2
Abhishek Chaubey,3
Imtiaz Ali,6
Navdeep Singh,1
Anees Bazmee,6
Rikhil Bahadur,1
Shawn Levy,3
Harry Bradbeer,1
Joshua Tickell,1
 Rebecca Harrell Tickell,1
Sophia Nahli Allison,1
Norihisa Hiranuma,1
Shigeaki Kubo,5
 Tsuyoshi Nakakuki,2
Yudai Yamaguchi,1
Marwan Hamed,1
Smeep Kang,2
Raja Chanda,1
Tigmanshu Dhulia,2
Akashdeep,1
Rajesh Ganguly,1
Alankrita Shrivastava,1
Chandra Liow,1
Sekhar Kammula,2
Gary Andrews,1
Merawi Gerima,1
Kubhaer T. Jethwani,1
Antonio Campos,4
Carles Torras,1
James Watkins,1
Philippa Lowthorpe,1
Pailin Wedel,1
Chris Howe,3
Peter Sollett,1
Steve Bencich,1
Tosin Coker,2
Javier Colinas,1
Dean DeBlois,1
Reinhard Klooss,1
Shaun Mir,1
Satish Rajwade,3
Abhijeet Deshpande,1
Mahesh Manjrekar,5
Prakash Kunte,1
Manish Saini,1
Kenny Ortega,1
Makarand Mane,2
Vijay Maurya,1
Sameer Patil,1
Kenzo Maihara,1
 Amandha Wyanto,1
Ahmed Nader Galal,4
Arati Kadav,1
Maïmouna Doucouré,1
Pepe Mora,1
Marcos Carnevale,1
Jeff Orlowski,2
Cho Il,1
Pippa Ehrlich,1
 James Reed,1
Tolga Karaçelik,1
Davis Guggenheim,2
Philip Barantini,1
Charlie Kaufman,1
Abba T. Makama,2
Junior Carelli,1
 Rudge Campos,1
Ertanto Robby Soediskam,1
Mark Steven Johnson,2
Felix Binder,1
Thor Freudenthal,1
Nguyen Thanh Tung,1
Baltasar Kormákur,1
Conrad Helten,4
Ayumu Watanabe,1
Hitoshi Namba,1
Chris Miller,1
Sean Anders,1
Abbas Mustan,1
Duncan McMath,1
Dan Forgione,1
 Pete Jacobs,1
 Matt Whitlock,1
Francesco Carnesecchi,1
Greg Tiernan,1
Mark Thornton,1
 Todd Kauffman,1
Shamzu Zayba,1
Jesse V. Johnson,5
Brett Haley,3
Chris Roland,1
 Maradona Dias Dos Santos,1
David Galán Galindo,1
David Moreton,1
Lester Hsi,1
Cyrus Nowrasteh,1
Isabel Sandoval,1
Nathan Wiley,1
Wayne Blair,2
Atul Sabharwal,1
Bernardo Arellano,1
Trish Sie,1
Hong Won-ki,1
Khaled Marei,5
Fred Wolf,1
Niyi Akinmolayan,5
Sammaria Sari Simanjuntak,1
Chairun Nissa,1
Tom Hooper,3
Sergei Bodrov,1
Anna Stone,1
Cory Edwards,1
Faraday Okoro,1
Henry Joost,1
 Ariel Schulman,1
Rebecca Zlotowski,2
Sharan Sharma,1
Tyler Spindel,2
Vicky Wight,1
Marc Meyers,1
Franziska Meyer Price,1
Steven Rinella,1
Laura Terruso,1
Martín Sastre,1
Franck Nataf,1
Pascal Amanfo,2
Savage Steve Holland,4
Mike Doyle,1
Darren Grant,1
Joseph Ruben,1
Mfanelo Ngoma,1
Colin Minihan,1
Regina Welker,1
 Nina Wels,1
Honey Trehan,1
Katleho Ramaphakela,1
 Rethabile Ramaphakela,1
Ariel Boles,1
Álvaro Delgado-Aparicio L.,1
Venkatesh Maha,1
Nopparoj Chotmunkongsit,1
Aniedi Anwah,1
Mickey Fonseca,1
Matias Mariani,1
Jan Komasa,1
Sue Kim,1
Paul Solet,2
Ben Kasulke,1
Gagan Puri,1
Teddy Chan,1
Bhavin Wadia,1
Tony Bancroft,1
 Scott Christian Sava,1
Tope Alake,1
Fernando González Molina,4
Yuki Tanada,1
Alex Gibney,1
Ahn Byoung-wook,1
Sibusiso Khuzwayo,1
Lisa Cortés,1
 Farah X,1
Wilson Yip,5
Dave Skinner,1
 Freddie Waters,1
Denis Do,1
Leslye Davis,1
 Catrin Einhorn,1
Toka McBaror,3
 Tunde Apalowo,1
Peter Sullivan,2
Axelle Laffont,1
Daniel Oriahi,2
Stefano Mordini,1
Hayden Guppy,1
Stéphane de Freitas,1
André Odendaal,1
 Johan Vorster,1
Cassia Dian,1
Amro Salah,1
Sue Ding,1
Gina Prince-Bythewood,1
Wouter Bouvijn,1
Funke Akindele,1
Bryn Evans,1
Cristina Costantini,1
 Kareem Tabsch,2
Hannah Fidell,2
Chris Renaud,2
 Kyle Balda,1
Scott Zabielski,3
Coodie,1
 Chike,1
QLF,1
Sachin Kundalkar,1
Puri Jagannadh,1
Vishal Mahadkar,1
 Dibakar Banerjee,3
 Karan Johar,3
 Zoya Akhtar,2
Anthony D'Souza,2
Soumendra Padhi,2
Fuwad Khan,1
Nishikant Kamat,4
Krish,1
Kabir Sadanand,2
Rachit Kusonkoonsiri,1
Shoojit Sircar,1
Omung Kumar,1
Umesh Shukla,2
Devika Bhagat,1
Takashi Doscher,1
Shubham Singh,1
Abbas Alibhai Burmawalla,4
 Mastan Alibhai Burmawalla,4
Luv Ranjan,2
Vikas Bahl,3
Neeraj Pandey,3
Aanand Rai,1
Gurmmeet Singh,1
LP,1
Rako Prijanto,3
Raoul Peck,1
Shirley Frimpong-Manso,2
Fabio Ock,1
 Joana Mazzucchelli,1
Sabina Fedeli,1
 Anna Migotto,1
Kyran Kelly,2
Salvador Calvo,2
Cem Yılmaz,2
Bruce Beresford,2
Michael Duggan,1
Almudena Carracedo,1
 Robert Bahar,1
Paul Verhoeven,2
Younuts!,1
Obi Emelonye,3
Daniel Effiong,1
Abhijit Panse,2
Rachel Griffiths,1
David Dobkin,2
Oluseyi Asurf,2
Eduardo Roy Jr.,2
Ravikanth Perepu,1
Sooraj R. Barjatya,6
Bonni Cohen,2
 Jon Shenk,2
Anvita Dutt,1
Gaspar Antillo,1
Eric Notarnicola,1
Musthafa,1
Ishaya Bako,3
Kate Mulleavy,1
 Laura Mulleavy,1
Akhigbe Ilozobhie,1
Apurva Dhar Badgaiyann,1
Elissa Down,1
Guillaume Pierret,1
Olivier Assayas,3
Junichi Sato,1
 Tomotaka Shibayama,1
Pablo Aulita,1
Manatsanun Phanlerdwongsakul,1
Georges Hachem,1
Peter Lepeniotis,2
Jim Hosking,1
Paco Aguilar,1
Greg McLean,1
Juan José Campanella,1
A. Raajdheep,1
 Pidi Baiq,3
Nicholas Kharkongor,2
Michael McKay,4
Kitaro Kosaka,1
Ali F. Mostafa,2
Ayman Makram,1
George Gallo,1
Ry Russo-Young,1
Barbara Białowąs,1
 Tomasz Mandes,1
Akhil Paul,1
 Anas Khan,1
Kanika Batra,1
Michael Cristofer,1
Mohamed Khan,1
Adriana Trigiani,1
Phil Sgriccia,1
Andaç Haznedaroğlu,1
Murat Kepez,1
Greta Gerwig,1
Sam Rega,1
Wael Ehsan,4
Inas El-Degheidy,1
Ahmed Al-Badry,3
Sameh Abdulaziz,6
Wael Ihsan,4
Izidore K. Musallam,1
Sherif Arafa,2
Yasir Al Yasiri,1
Safdar Rahman,1
Tomas Brickhill,1
Hani Al-Shaibani,1
Mamoru Hosoda,1
James Franco,1
Niall Johnson,1
Michael Damian,2
Ahmed Zain,2
Angshuman Ghosh,1
Ahmed Zein,2
Alejandro Montiel,2
Fernando Frías de la Parra,1
Madeleine Parry,2
Yu Yang,1
Jesse Warn,1
Josh Safdie,1
 Benny Safdie,1
Hiromasa Yonebayashi,2
 Yoshiyuki Momose,1
 Akihiko Yamashita,1
Michael Showalter,2
Norm Hiscock,1
 Gary Howsam,1
 Mike Smith,2
 John Paul Tremblay,5
 Robb Wells,5
Almunsif Alsuwaisi,1
Fouad Al Shatti,1
Fouad El-Mohandes,1
Andrés Feddersen,1
Samir Al Asfory,1
Hussein Kamal,2
Hassan AbdulSalam,1
Houssam El-Din Mustafa,1
Muhammad Fadl,1
 Hany Motawie,1
Lonzo Nzekwe,1
Alex Timbers,2
 Sam Wrench,1
Rebecca Johnson,1
Carlos Morett,1
Megha Ramaswamy,1
Saeed Hamed,1
Ali Ragab,2
Ahmad El-Badri,4
Marcus Raboy,16
Haifaa Al-Mansour,2
Mohammed Alhmly,1
Lucien Bourjeily,1
Laura Mañá,1
Sivaroj Kongsakul,1
Salmeen AlMurry Amer,1
Mohit Suri,2
Obaid Alhmoudi,1
Adekunle Nodash Adejuyigbe,1
Sadeq Behbehani,1
Dylan Mohan Gray,1
Hussein El Ansary,1
Claire Scanlon,2
Vipul Amrutlal Shah,2
Donick Cary,1
Will Forbes,1
Francesco Amato,1
Damien Chazelle,1
 Houda Benyamina,1
 Laïla Marrakchi,1
 Alan Poul,1
S.A. Zaidi,1
Hamad AlSarraf,1
He Xiaofeng,1
Nadia Hallgren,2
Pedro Flores Maldonado,1
Joe DeMaio,2
Aaron Woodley,1
Lucas Margutti,4
Ashok Nanda,2
Hernán Guerschuny,1
Alex Ranarivelo,1
Seth Barrish,3
Brett Hedlund,1
Joe Robert Cole,1
Michelle Esrick,1
Olivier Abbou,1
Jeffrey Schwarz,1
Craig Freimond,1
Shirish Kunder,3
Mysskin,2
Alice Wu,1
Joey So,6
Dennie Gordon,2
Michael M. Scott,1
Sion Sono,2
David Chuang,1
 Chen Kuan-chung,1
Chris Bolan,1
Omoni Oboli,7
Saravana Rajan,1
 Sırrı Süreyya Önder,1
Sermiyan Midyat,3
Ahmed Yousry,1
 Hazem Fouda,2
Handan İpekçi,1
Ferzan Özpetek,1
Ashraf Fayeq,1
Paul Munger,1
Matei Dima,1
Jonathan Augustin,1
Venky Kudumula,1
Amr Arafa,3
Michel Hazanavicius,1
Ahmed Saleh,1
Ahmed Medhat,1
Mohamed Yassin,1
Chakri Toleti,1
Neville Shah,1
Upi Avianto,2
Yoon Sung-hyun,1
Rachel Mason,1
Patryk Vega,2
Marc Vigil,1
Kris Pearn,1
Ryan Polito,8
Anoop Sathyan,1
Müfit Can Saçıntı,1
Cüneyt Kaya,1
Greg Barker,1
Leticia Jorge Romero,1
Adrien Lagier,1
 Ousmane Ly,1
Ethan Coen,2
 Joel Coen,2
Jon M. Chu,3
Diego Pignataro,3
Ian Edelman,2
Ali Yorgancıoğlu,1
Digo Ricio,1
Emcy Joseph,1
Kranthi Madhav,1
Matt D'Elia,1
Jeff Chan,1
Dean Craig,1
Grand Corps Malade,1
 Mehdi Idir,1
Jay Karas,15
Stefano Lodovichi,1
Alan Yang,1
Perci Intalan,1
M. Night Shyamalan,2
Chris Robinson,2
Eddie Mensore,1
Sean Baker,1
Padraig Reynolds,1
Yorgos Lanthimos,2
Michael Dowse,3
Pablo Lejarreta,1
 Luis Alfaro,1
Armando Iannucci,1
Akira Saitoh,1
Haruka Fujita,1
Mukul Anand,2
Karan Malhotra,1
David Batra,1
 Jon Rudberg,1
Tarun Mansukhani,2
Ramesh Talwar,1
Mahesh Bhatt,3
Raj Khosla,1
Punit Malhotra,2
Soham Shah,1
Karan Johar,3
Nikkhil Advani,1
Shakun Batra,2
 Anirban Majumder,1
 Alka Amarkant Dubey,1
Prakash Mehra,3
Anand Ravichandran,1
Richard Claus,1
 Karsten Kiilerich,1
Floria Sigismondi,1
Renzil D'Silva,2
Fritz Böhm,1
Ravishankar Venkateswaran,1
Vijay S. Bhanushali,1
David Hunt,1
Stephen S. Campanelli,1
Rakesh Ranjan Kumar,1
Sam Irvin,1
Gary Stretch,1
Desingh Periyasamy,1
TJ Sullivan,1
 Greg Rankin,1
Neeraj Udhwani,1
Patrice Laliberté,1
Ellen Page,1
 Ian Daniel,1
Todd Kauffman,1
 Mark Thornton,1
Prentice Penny,1
Zsolt Pálfi,1
Nawapol Thamrongrattanarit,2
Marlene Melchior,1
Aaron Lieber,1
Tamas Yvan Topolanszky,1
Àlex Pastor,2
 David Pastor,2
Rami Hachache,1
Francisco Macri,1
Gabriela García Rivas,1
Eric Goode,1
 Rebecca Chaiklin,1
Francesco Lettieri,1
John Suits,1
Takeru Nakajima,1
 Yoshiyuki Okada,1
Susan Walter,1
Masaaki Yuasa,2
Pierre Deschamps,1
Jeff Tomsic,1
Scot Armstrong,1
Naman Nitin Mukesh,1
Lynn Novick,1
Navjot Gulati,1
Stephanie Zwane,1
Owen Trevor,1
Stephanie Turner,1
Liz Garbus,2
Mehmet Ada Öztekin,1
Jos Humphrey,1
Sharmeen Obaid-Chinoy,1
Toyin Abraham,1
Ruchi Narain,1
Christophe Charrier,1
Daniel Calparsoro,2
Trivikram Srinivas,2
Kittiphak Thonguam,1
Cristi Puiu,2
Sebastian Jones,1
 Ramez Silyan,1
Carlos Sedes,1
Adam B. Stein,1
 Zach Lipovsky,1
Athiyan Athirai,1
Zuko Nodada,1
Madonna,1
Milton Horowitz,1
Sneha Taurani,1
Momoko Kamiya,3
Matthew Ross,1
Lee Kirk,1
Ziggy Hofmeyr,1
Gustavo Ron,1
Yacine Belhousse,1
Sam Dunn,2
Kunihiko Yuyama,2
 Motonori Sakakibara,1
Ali Kalthami,1
 Meshal Aljaser,1
 Faris Godus,1
 Mohamed al Salman,1
 Faisal al Amer,1
Tolu Awobiyi,1
Oyefunke Fayoyin,1
Jason Orley,1
Robert Eagar,1
Travis Stevens,1
Mick Grogan,1
Nora Fingscheidt,1
Jeethu Joseph,2
Dee Rees,2
Sooni Taraporevala,1
Linda Korsten,1
Tom Barton-Humphreys,1
Angelina Jolie,2
R.J. Daniel Hanna,1
Paco Cabezas,1
Peter Billingsley,1
Jason Zada,1
Avgousta Zourelidi,1
Richard Phelan,1
 Will Becher,1
Rod Cabatana Marmol,1
Michał Tylka,1
Oliver Kienle,1
Brian Webber,1
Takashi Yamazaki,1
 Ryuichi Yagi,1
 Makoto Hanafusa,1
Pantham Thongsang,1
 Cheewatan Pusitsuksa,1
Paul Krüger,1
 Anél Stolp,1
Benny Safdie,1
 Josh Safdie,1
Andres Clariond,1
Andrew Dean,1
Lars Klevberg,1
Lukasz Kosmicki,1
Shanavas K. Bavakutty,1
Kwabena Gyansah,1
Jeff Baena,3
Kumaran,1
Jared Moshé,1
Austin Peck,1
 Anneliese Vandenberg,1
James Bamford,1
Julia Willoughby Nason,1
 Jenner Furst,1
Nate Adams,3
 Adam Carolla,3
Ivan Silvestrini,1
Robert Krantz,1
Gregory Jacobs,1
Alfonso Cortés-Cavanillas,1
Xavier Manrique,1
Richard Gabai,1
Alfons Adetuyi,1
Thomas Astruc,2
Erwin van den Eshof,2
G.J. Echternkamp,3
Hikari,1
Jean-Claude Flamand-Barny,1
Lana Wilson,1
Shannon Hartman,9
David Oelhoffen,1
Ramesh Sippy,1
 Ajay Bhuyan,1
Josh Z. Weinstein,1
 Joshua Z. Weinstein,1
Chung Mong-hong,1
Johnny Breedt,1
César Rodrigues,1
Quek Shio-chuan,1
Pablo Stoll,1
 Juan Pablo Rebella,1
Krysia Plonka,1
Madhumita,1
Debamitra Biswal,1
David Lynch,1
Tyler Perry,2
Caryn Waechter,1
Tim Hill,1
Numa Perrier,1
Brian Helgeland,1
Yoshiyuki Momose,1
Danny Boyle,2
Rima Das,1
Paco Plaza,2
Andrew Goth,1
William Kaufman,1
David Benioff,1
 D.B. Weiss,1
Steve Boettcher,1
Mikhil Musale,2
Tom Green,1
David Lowery,1
Maria Ripoll,3
Yibrán Asuad,1
Edwin,2
Vadim Jean,1
Mark A.Z. Dippé,3
 Kyung Ho Lee,1
 Eondeok Han,1
John A. Davis,1
Justin Webster,2
Tetsuo Yajima,1
John Lyde,1
Steve Rash,1
Ravi Babu,1
Soumitra Ranade,1
Jon Rosenbaum,3
Bruce Leddy,1
Yuki Yamato,1
Andrew Wessels,1
Emir Kusturica,1
Odunlade Adekola,1
Elisa Fuksas,1
Lee Toland Krieger,1
Akiyuki Shinbo,1
 Nobuyuki Takeuchi,1
Ron Oliver,3
Shojiro Nishimi,1
 Guillaume Renard,1
Pepe Bojórquez,1
Rhys Thomas,2
David M. Rosenthal,2
Louise Alston,1
Sunkanmi Adebayo,1
Falz,1
Frank Rajah Arase,2
Fernando Meirelles,2
Rodrigo Reyes,1
Mark Lewis,1
Sebastian DiNatale,1
Nuhash Humayun,1
 Syed Ahmed Shawki,1
 Rahat Rahman,1
 Robiul Alam Robi,1
 Golam Kibria Farooki,1
 Mir Mukarram Hossain,1
 Tanvir Ahsan,1
 Mahmudul Islam,1
 Abdullah Al Noor,1
 Krishnendu Chattopadhyay,1
 Syed Saleh Ahmed Sobhan,1
Karan Anshuman,1
Farhan Akhtar,4
Zoya Akhtar,4
Mrighdeep Singh Lamba,1
Tsutomu Mizushima,2
Reema Kagti,2
Jadesola Osiberu,1
Vijay Lalwani,1
Abhishek Kapoor,3
Michael Bay,3
Biodun Stephen,1
Ding-Lin Wang,1
Richard van't Riet,1
Shonali Bose,1
Lance Bangs,8
Robbie Countryman,1
Trey Edward Shults,2
Sujeeth,1
Alexandre Avancini,2
Noah Baumbach,7
Atsuko Ishizuka,1
Eric Aghimien,1
Michel Tikhomiroff,1
Robert Kenner,2
 Taki Oldham,1
John Schultz,3
Linda Mendoza,3
Michelle Johnston,1
Vijay Kumar Arora,1
Matt Shakman,1
Mikhail Red,3
Pankaj Batra,3
Serge Ou,1
Navaniat Singh,2
Gaurav Bavdankar,1
Jagdeep Sidhu,1
Tanawat Aiemjinda,1
Mukesh Vohra,1
Syrine Boulanouar,1
 Nekfeu,1
Tudor Giurgiu,1
 Ignacio Jaunsolo,1
Abhishek Sharma,3
Mati Diop,1
Jérémy Clapin,1
Mandla Dube,1
Mike Ezuruonye,1
Cheta Chukwu,1
Roger Russell,1
Edward Zwick,1
Basava Shankar Eeday,1
Elle-Máijá Tailfeathers,1
 Kathleen Hepburn,1
Sanjiv Jaiswal,1
Marta Jaenes,1
 Rosa Márquez,1
Julien Abraham,1
Monika Mitchell,1
Eva Orner,1
KVR Mahendra,1
Juan Carlos Rulfo,1
Raj R,1
Steve Paley,2
Timo Vuorensola,1
Robb Dipple,1
Eli Roth,3
Wash Westmoreland,1
Alessandro Angulo,2
Mauro Scandolari,1
Arjun Jandyala,1
Shashanka Ghosh,2
 Samit Basu,1
Naoko Yamada,2
Sergio Pablos,1
Valli Bindana,1
Makoto Shinkai,1
Gautier & Leduc,1
Christopher Storer,2
Josh Aronson,1
Luke Snellin,1
Xavier Durringer,1
Pawan Kumar,1
Phillip Youmans,1
Zhang Yimou,1
Neal Brennan,3
Azazel Jacobs,1
Jung Ji-woo,1
Matt D'Avella,1
Parthiban,1
Scott McAboy,1
Raymie Muzquiz,1
 Stu Livingston,1
Joe Menendez,1
Eric Bross,1
Will Eisenberg,1
Marina Seresesky,1
Kenny Leon,1
Harvey Lowry,2
James Dearden,1
Drea Cooper,1
 Zackary Canepari,1
Michael A. Nickles,1
Blayne Weaver,1
David Michôd,3
Marco Bonfanti,1
Everardo González,2
Rodrigo Guardiola,1
 Gabriel Cruz Rivas,1
Juani Libonatti,1
DJ Chen,1
Park Joon-hwa,1
Saravana Rajendran,1
Matt Kay,1
Craig Brewer,3
Billy Lyons,1
Michael Steed,1
Zak Hilditch,2
Michael Steiner,1
Andrew Slater,1
Glen Goei,1
 Gavin Yap,1
Huw Cordey,1
Yuen Woo-ping,1
Gillian Robespierre,2
Thomas Vinterberg,1
Ciarán Foy,2
Daniel Sánchez Arévalo,1
Don Omope,1
Ed Perkins,1
Steven Soderbergh,6
Udai Singh Pawar,1
Guntur Soeharjanto,1
Bassam Tariq,1
Leslie Iwerks,2
Louie Psihoyos,1
Ahmet Katıksız,1
Jean-François Blais,1
Leïla Sy,1
 Kery James,1
Vince Gilligan,1
Bolanle Austen-Peters,1
Dennis Rovira van Boekholt,1
Naoto Amazutsumi,1
Jenny Gage,1
Kaila York,1
Vandana Kataria,1
Onur Bilgetay,1
Vincenzo Natali,1
Tugçe Soysop,1
Jacob Joice,2
 Steve Ball,1
Luis Javier Henaine,1
Anand Kamalakar,1
Lee Yoon-jung,1
Roy Poortmans,1
Vrinda Samartha,1
Nicholaus Goossen,1
Stig Bergqvist,1
 Paul Demeyer,1
Igor Kovalyov,1
 Norton Virgien,1
Danny Cannon,1
Mana Yasuda,2
Gupse Özay,1
Jim Mickle,1
Jumpei Mizusaki,1
 Koji Morimoto,1
 Michael Arias,1
 Arthell Isom,1
 Henry Thurlow,1
 Takanobu Mizuno,1
 Elsa Nakamichi,1
 Hajime Sasaki,1
 Shinji Takagi,1
Mangesh Hadawale,1
Wong Kar Wai,1
Otilia Portillo Padua,1
B. V. Nandini Reddy,3
Michael J. Bassett,2
Rahul Ravindran,1
Archie Borders,1
Deepti Naval,1
Scott Aukerman,2
Mariano Barroso,1
Kiko Cruz Claverol,1
 Patricia Font,1
Sandeep Reddy Vanga,1
Randall Lobb,2
Alex Stapleton,1
Teng Huatao,1
Nzingha Stewart,1
Orlando von Einsiedel,3
Anubhav Sinha,1
Maha Venkatesh,1
Tharun Bhascker,1
Farhan Alam,1
A. L. Vijay,2
Petra Costa,3
Hayato Date,1
 Lea Glob,1
Rémy Four,1
 Julien War,1
Alejandro Fernández Almendras,2
Jota Linares,2
Wagner de Assis,1
White Trash Tyler,1
Stan Lathan,4
Yeung Yat-Tak,1
Rai Yuvraj Bains,1
Sunil Thakur,1
Muh Chen,1
Saurabh Sinha,1
Ashwin Saravanan,3
Julia Knowles,1
Tarsem Singh,2
Kepa Sojo,1
 Anurag Kashyap,2
Cho Li,1
 Chen Hung-yi,1
 Weica Wang,1
 Liu Bang-yao,1
 Lin Guan-fu,1
 Shen Chi,1
 YC Tom Lee,1
Manu Ashokan,1
Anita Udeep,1
Vlad Yudin,6
Alberto Arnaut Estrada,1
Robert Moresco,1
Aadish Keluskar,1
Joe Murray,1
 Cosmo Segurson,1
Jesse Moss,1
Shin Won-ho,2
Sujoy Ghosh,3
John Asher,3
Alex Burunova,1
Jesús Torres Torres,1
Camille Shooshani,1
Vijay Kumar,1
Phanindra Narsetti,1
Gideon Raff,1
Jorge M. Fontana,1
Olivier Afonso,1
Karim Amer,1
 Jehane Noujaim,1
Jay Chapman,12
 Demetri Martin,1
Dante Lam,3
Chi Keung Fung,1
Corey Yuen,2
 Patrick Leung,1
To-hoi Kong,1
Frank Ariza,1
Jerry Seinfeld,2
Aditya Sarpotdar,2
Nisheeta Keni,1
Daniel Gray Longino,2
Gerardo Olivares,2
Wi Ding Ho,1
Joe Lynch,1
Andreas Pichler,1
Daniel Arasanz,1
Spike Jonze,2
Marcelo Altmark,1
 Mariano Mucci,1
 Luis A. Scalella,1
Hernán Zin,4
Sittisiri Mongkolsiri,1
Robbie Grewal,1
Thiagarajan Kumararaja,1
Kate Horne,1
Roberto Girault Facha,1
 Marcos Bucay,1
Svati Chakravarty Bhatkal,1
Kevin Bray,1
 Jesse Johnson,1
Miguel Cohan,1
 Miguel Cohan,1
Luis Alberto Restrepo,1
 Andrés Beltrán,1
 Jaime Rayo,1
Hideaki Anno,2
 Kazuya Tsurumaki,1
Abhijit Kokate,1
 Srivinay Salian,1
Antonin Baudry,1
Jon Watts,1
Jakob Lass,1
John Haptas,1
 Kristine Samuelson,1
Sanjay Jadhav,2
Vinod Kapri,1
Elías León,1
Kyle Newacheck,2
Mark Ritchie,1
Rocky Soraya,6
Federico Veiroj,2
Isabel Coixet,1
Grant Sputore,1
Juan Antin,1
Hanno Olderdissen,1
Amar Kaushik,1
Eva Trobisch,1
Mathieu Auvray,1
Limbert Fabian,1
 Brandon Oldenburg,1
Datta Mohan Bhandare,1
Sanjib Dey,1
Daniel Yee Heng Chan,1
Rakeysh Omprakash Mehra,4
Han Han,1
Jang Jae-hyun,1
Sudabeh Mortezai,1
Richard Shepard,1
Mike Diva,1
 Akiva Schaffer,2
Trisha Ziff,1
Vasan Bala,1
Diego Enrique Osorno,1
Pedring A. Lopez,1
Sam Cullman,1
Francesco Imperato,2
Stefon Bristol,1
Kate Melville,1
Aditya Vikram Sengupta,1
Mandie Fletcher,1
Aijaz Khan,1
Gonzalo López-Gallego,3
Abby Epstein,1
Hepi Mita,1
Che Sandoval,1
Jean-Bernard Marlin,1
Yee Tung-Shing,1
Patricia Font,1
Yen Cheng-kuo,1
Alex Parkinson,1
 Richard da Costa,1
Frant Gwo,1
Hao Wu,1
Felipe Cano,1
Gabriela Tagliavini,1
Lee Jeong-beom,1
William Bindley,1
Manav Shah,1
Michael Epstein,1
Rachel Lears,1
Syamsul Yusof,1
Mangesh Kanthale,1
Herman Yau,2
Dar Gai,1
Sathyan Anthikad,1
Brian Oakes,2
Bille August,1
Fab Five Freddie,1
Sandra Restrepo,1
Sarthak Dasgupta,1
Jennifer Kaytin Robinson,1
Renato De Maria,1
Alan Rickman,1
Ulises Valencia,2
Beyoncé Knowles-Carter,1
Richard Curtis,1
Suparn Verma,1
Anant Balani,1
Soukarya Ghosal,1
Leena Yadav,3
Amitabha Singh,1
Hasan Karacadağ,3
Chris Nelson,1
Lee Kyoungmi,1
 Yim Pilsung,1
 Jeon Go-woon,1
 Kim Jong-kwan,1
John R. Leonetti,1
Jeremiah Jones,1
Brie Larson,1
 Anggy Umbara,1
Shelly Chopra Dhar,1
Shanjey Kumar Perumal,1
Tianyu Zhao,1
Shazia Ali Khan,1
Erik White,1
Owen Egerton,1
"Sam ""Blitz"" Bazawule",1
Swapnaneel Jayakar,2
Kyzza Terrazas,1
John Lee Hancock,3
Theo Love,1
Awi Suryadi,1
Raj Babu,1
Javier Ruiz Caldera,2
Chanon Yingyong,1
 Phuwanit Pholdee,1
Stuart Sender,1
Wenn V. Deramas,6
Joyce Bernal,2
Maryo J. De los Reyes,2
Karan Shivajirao Chavan,1
 Vikram Tanajirao Patil,1
Amy Schumer,2
Richard Loncraine,1
Pia Sukanya,1
Yann Gozlan,1
Lukas Dhont,1
 Matthew McNeil,1
Frank W Chen,1
Olivia M. Lamasan,3
J.C. Chandor,2
Brian Klein,2
Ibrahim Bin Mohamed,1
 Hasan Aljaberi,1
Clark Johnson,2
Emmanuel Mouret,1
Conor Allyn,1
Nuel Naval,1
Keoni Waxman,2
Isao Yukisada,1
A.R. Murugadoss,2
Fritz Ofner,1
Nottapon Boonprakob,1
Xavier Gens,1
Jonathan A. Rosenbaum,1
Franck Phelizon,1
Peter Howitt,1
Chiwetel Ejiofor,1
Rodrigo Salomón,1
 Pietro Scappini,1
Miguel Ángel Vivas,1
Carlos Vermut,1
Sridhar Rangayan,2
Michael Blieden,1
Pawan K Shrivastava,1
Mar Targarona,2
Aruna Raje,1
Alex Lehmann,3
Elisabeth Vogler,1
Parambrata Chatterjee,2
Woo Min-ho,1
Paul Miller,1
Michael Del Monte,1
Suseenthiran,1
Kevin MacDonald,2
Matt Tyrnauer,1
Prasanth Varma,1
Gangadhar Salimath,1
Daniel J. Clark,1
Marcelo Galvão,2
Shanawaz Nellikunnil,1
Lars Kaalund,1
Hari Nath,1
Saket Chaudhary,1
Tanuja Chandra,2
Jackie van Beek,1
 Madeleine Sami,1
Sachin Kamlakar Khot,1
Daniel Monzón,1
Rayka Zehtabchi,1
Tom Stern,1
Kelly Duane de la Vega,1
Julio Medem,1
Johnny Kevorkian,1
Amshan Kumar,1
Adam Davis,1
 Jerry Kolber,1
 Trey Nelson,1
 Erich Sturm,1
Hsu Chih-yen,1
 Mag Hsu,1
Rick Morales,1
Michael D. Black,2
Dan Gilroy,2
Mamat Khalid,1
Amarjit Virdi,1
Nishil Sheth,1
Byun Hyuk,1
Zoe Berriatúa,2
Adam Bhala Lough,1
Faozan Rizal,1
Mansore,1
Kuntz Agus,1
 Meisa Felaroze,1
Jerrold Tarog,2
Laura Alvea,1
 José Ortuño,1
Gastón Duprat,2
Andy Caballero,1
 Diego Corsini,1
Seren Yüce,1
Jonathan Helpert,1
André D'Elia,1
Skye Borgman,1
Hashim Nadeem Khan,1
Sarjun,1
Feroz,1
Syed Atif Ali,1
Lee Seung-won,1
