Director,Genre(s)
 Jess Tombs,"['Animals & Nature, Documentary, Family']"
Steve Martino,"['Animation, Comedy, Family']"
Jeremy Turner,"['Animals & Nature, Family, Reality']"
Beyoncé Knowles-Carter,"['Dance, Music, Musical']"
Tim Conrad,"['Documentary, Historical']"
Dan Oliver,['Documentary']
Brad Bird,"['Action-Adventure, Animation, Family', 'Animation, Comedy, Family', 'Action-Adventure, Science Fiction']"
Jim Aikman,['Documentary']
Sophie Harris,"['Animals & Nature, Documentary', 'Documentary, Historical']"
Joachim Rønning,"['Action-Adventure, Fantasy', 'Action-Adventure, Family, Fantasy']"
 Espen Sandberg,"['Action-Adventure, Fantasy']"
Wilfred Jackson,"['Documentary, Family, Historical', 'Documentary, Family', 'Action-Adventure, Animation, Family', 'Animation, Family, Fantasy', 'Animation, Family, Music', 'Animation, Comedy, Family', 'Animation, Family, Kids', 'Animation, Family, Musical', 'Animation, Family, Sports']"
David Bowers,"['Comedy, Family']"
John Tracy,"['Coming of Age, Drama, Family']"
Bryan Singer,"['Action-Adventure, Family, Science Fiction']"
Ron Howard,"['Action-Adventure, Crime, Science Fiction', 'Comedy, Fantasy, Romance']"
Bryan Singer,"['Action-Adventure, Family, Science Fiction']"
David Bowers,"['Comedy, Family']"
Thomas Kail,"['Biographical, Historical, Musical']"
Mike Thurmeier,"['Action-Adventure, Animation, Comedy']"
Andy Fickman,"['Comedy', 'Action-Adventure, Family, Science Fiction', 'Comedy, Family, Sports']"
Holly Sloan,"['Comedy, Family, Sports']"
Stephen Herek,"['Drama, Music', 'Comedy, Drama, Sports', 'Action-Adventure, Comedy, Family']"
Jon Turteltaub,"['Action-Adventure, Fantasy', 'Comedy, Drama, Romance', 'Action-Adventure, Mystery, Thriller', 'Biographical, Comedy, Family', 'Comedy, Drama, Family']"
Ward Kimball,"['Documentary, Family', 'Animation, Documentary, Family']"
Ward Kimball,"['Documentary, Family', 'Animation, Documentary, Family']"
Anthony Russo,"['Action-Adventure, Fantasy, Science Fiction', 'Action-Adventure, Science Fiction, Superhero']"
 Joe Russo,"['Action-Adventure, Fantasy, Science Fiction', 'Action-Adventure, Science Fiction, Superhero']"
Kevin Lima,"['Comedy, Family, Fantasy', 'Action-Adventure, Animation, Coming of Age', 'Action-Adventure, Animals & Nature, Family', 'Action-Adventure, Animation, Comedy']"
 Chris Buck,"['Action-Adventure, Animation, Coming of Age']"
Brian Smith,"['Action-Adventure, Animation, Coming of Age', 'Action-Adventure, Animation']"
Ben Allen,"['Documentary, Historical']"
 Tom Jenner,"['Documentary, Historical']"
Jon Favreau,"['Action-Adventure, Coming of Age, Family', 'Action-Adventure, Coming of Age, Drama', 'Action-Adventure, Science Fiction, Superhero']"
Peggy Holmes,"['Action-Adventure, Animation, Family', 'Animation, Fantasy, Kids', 'Animation, Drama, Family']"
Barry Cook,"['Action-Adventure, Family, Fantasy', 'Action-Adventure, Animation, Comedy']"
Frank Marshall,"['Action-Adventure, Animation, Comedy', 'Action-Adventure, Animals & Nature, Drama']"
 Rob Minkoff,"['Action-Adventure, Animation, Comedy']"
Kenneth Branagh,"['Action-Adventure, Crime, Fantasy', 'Action-Adventure, Fantasy, Superhero']"
Hamilton Luske,"['Drama, Family, Historical', 'Action-Adventure, Animation, Family', 'Animation, Family, Fantasy', 'Documentary, Family, Variety', 'Action-Adventure, Animation, Comedy', 'Animation, Anthology, Family']"
