Directors,Count
Terry Morse,1
 Terry O. Morse,1
Ismael Rodriguez,1
 Albert C. Gannaway,1
 Ismael Rodríguez,1
Chris L. Griffin,1
Lew Landers,1
Tim McCanlies,2
Adam Rothlein,1
John Murray,1
 Emer Reynolds,1
Ollie Bartlett,1
Phillip Escott,1
 Craig Newman,1
Damon Thomas,1
Stacy Peralta,1
Nick Millard,1
Frédéric Schoendoerffer,1
 Yann Brion,1
Eleanore Lindo,1
Rick Bieber,1
Sean Stanek,2
 Corbin Timbrook,1
Delmer Daves,2
Roland West,2
Robert Fernandez,3
Nicolas Silhol,1
Miles O'Brien,1
Ralph Bakshi,2
Luther Reed,1
Jeremiah Camara,1
William A. Graham,1
AK.REED FILMS (Amire K Reed),1
 DUECE KING,1
Alden Peters,1
Gary Crenshaw,1
Joe Kane,1
Howard Hawks,3
 Richard Rosson,1
