type,title,director,cast,date_added,release_year,duration,listed_in,listed_in_count
Movie,The Hunger Games: Catching Fire,,,2021-10-01,2013,182 min,"Action, Adventure, Science Fiction",3
Movie,"The Hunger Games: Mockingjay, Part 1",,,2021-10-01,2014,108 min,"Action, Adventure, Science Fiction",3
Movie,"The Hunger Games: Mockingjay, Part 2",,,2021-10-01,2015,128 min,"Action, Adventure, Family",3
Movie,The Mask of Zorro,,,2021-10-01,1998,138 min,"Action, Adventure",2
TV Show,The O.C.,,,2021-10-01,2003,4 Seasons,"Drama, Teen",2
Movie,The Perfect Holiday,,,2021-10-01,2007,96 min,"Comedy, Drama, Family",3
Movie,The Recruit,,,2021-10-01,2003,115 min,"Action, Thriller",2
Movie,The Rocky Horror Picture Show,,,2021-10-01,1975,99 min,"Comedy, Music",2
Movie,The Saint,,,2021-10-01,1997,116 min,"Action, Adventure, Drama",3
Movie,The Spy Who Loved Me,,,2021-10-01,1977,126 min,"Action, Adventure",2
Movie,The Taking of Pelham 1 2 3,,,2021-10-01,2009,106 min,"Action, Adventure, Black Stories",3
Movie,The Untouchables,,,2021-10-01,1987,119 min,"Classics, Crime, Drama",3
Movie,The Village,,,2021-10-01,2004,108 min,"Horror, Thriller",2
Movie,The Vow,,,2021-10-01,2012,104 min,"Drama, Romance",2
Movie,Theater of Blood,,,2021-10-01,1973,104 min,"Comedy, Horror, News",3
Movie,Total Recall,,,2021-10-01,2012,118 min,"Action, Adventure, Science Fiction",3
Movie,Unforgettable,,,2021-10-01,2017,100 min,"Drama, Thriller",2
Movie,Victor Frankenstein,,,2021-10-01,2015,110 min,"Drama, Horror",2
Movie,Waitress,,,2021-10-01,2007,108 min,"Comedy, Drama, Romance",3
Movie,When A Man Loves A Woman,,,2021-10-01,1994,126 min,"Drama, Romance",2
Movie,Within,,,2021-10-01,2016,88 min,"Horror, Thriller",2
Movie,Wolves at the Door,,,2021-10-01,2016,72 min,"Drama, Horror, Thriller",3
Movie,Wrong Turn 2: Dead End,,,2021-10-01,2007,96 min,"Drama, Horror, Thriller",3
TV Show,American Dad!,,,2021-09-30,2005,16 Seasons,"Adult Animation, Comedy, Sitcom",3
TV Show,BuzzFeed Unsolved: True Crime,,,2021-09-30,2017,8 Seasons,"Crime, Mystery",2
TV Show,Entre Hombres,,,2021-09-30,2021,1 Season,"Action, Adventure, Drama",3
Movie,L.A. Rams Cheerleaders: Making the Squad,,,2021-09-30,2021,,News,1
Movie,True Crime: The Murder of Monica Leech,,,2021-09-30,2021,,"Crime, Documentaries",2
